"Entidad","UPM","VIV_SEL","HOGAR","RESUL_H","R_SEL","AREAM","AP4_1","AP4_2_03","FAC_ELE"
"25","2504147","08","01","B","01",NA,"3","1",362
"06","0600975","02","01","A","02","33","3","0",186
"18","1801328","01","01","B","02",NA,"3","0",492
"18","1801659","05","01","B","01",NA,"3","1",496
"31","3101047","01","01","B","01","08","3","0",360
"16","1601604","04","01","B","02","15","3","0",766
"32","3201783","06","01","A","01",NA,"3","0",666
"27","2700885","05","01","B","01",NA,"3","0",213
"04","0401240","06","01","B","02",NA,"3","0",384
"19","1901649","02","01","B","01","03","3","0",691
"17","1703454","02","01","B","02",NA,"3","1",374
"10","1060023","12","01","B","02",NA,"3","0",342
"28","2805650","05","01","B","02","10","3","0",760
"02","0201423","03","01","B","02",NA,"2","0",972
"24","2403797","09","01","B","01",NA,"3","0",945
"31","3160043","01","01","B","01",NA,"3","0",330
"09","0920667","03","01","B","02","01","3","0",3171
"28","2807530","10","01","A","01",NA,"3","0",307
"11","1101449","02","01","B","02",NA,"3","0",1152
"31","3103568","03","01","B","01",NA,"3","0",330
"18","1800219","01","01","B","04","27","2","0",704
"21","2160440","13","01","B","01",NA,"3","0",640
"27","2760090","01","01","B","03",NA,"3","0",570
"23","2360046","08","01","A","01",NA,"3","0",79
"02","0205945","03","01","B","01","21","3","0",602
"14","1407607","05","01","B","02","02","3","0",1668
"08","0800699","01","01","B","02","09","3","1",874
"31","3101318","02","01","B","02","08","3","1",904
"01","0160114","06","01","B","03",NA,"3","0",669
"23","2303136","14","01","B","02",NA,"3","1",570
"21","2107544","17","01","B","02",NA,"3","0",802
"09","0914768","02","01","B","01","01","3","1",3134
"08","0860261","10","01","B","02",NA,"3","0",1014
"09","0910168","01","01","A","03","01","3","1",4872
"28","2801779","05","01","B","03",NA,"3","0",873
"21","2104085","03","01","A","01",NA,"3","0",708
"16","1605416","16","01","B","03",NA,"3","0",771
"01","0100527","05","01","A","01","14","3","0",398
"13","1302344","16","01","B","03",NA,"3","0",960
"27","2701611","01","01","B","03",NA,"3","0",696
"04","0400450","03","01","B","02","28","3","0",242
"09","0917862","01","01","B","01","01","3","0",1386
"25","2504253","17","01","B","03",NA,"3","1",1302
"07","0701525","04","01","A","02","19","3","1",1006
"25","2504811","07","01","B","02",NA,"3","0",726
"08","0806757","01","01","B","02",NA,"3","0",1212
"05","0503531","03","01","A","01",NA,"1","0",357
"12","1260118","03","01","B","01",NA,"3","0",1524
"31","3101227","04","01","B","01","08","3","0",555
"25","2560783","02","01","B","01",NA,"3","0",621
"13","1360562","16","01","B","01",NA,"3","0",540
"21","2102352","04","01","B","02","04","3","0",1203
